Week,TOW,Sys,Sat,Obs,Value,LoL,Strg
1989,564593.000000,G,12,C1C,23973609.600000,0,7
1989,564593.000000,G,12,L1C,125982882.719000,0,7
1989,564593.000000,G,12,D1C,-3945.787000,0,7
1989,564593.000000,G,12,S1C,43.000000,0,7
1989,564593.000000,G,13,C1C,20634250.995000,0,7
1989,564593.000000,G,13,L1C,108434417.805000,0,7
1989,564593.000000,G,13,D1C,1174.085000,0,7
1989,564593.000000,G,13,S1C,46.000000,0,7
1989,564593.000000,G,15,C1C,20345153.423000,0,6
1989,564593.000000,G,15,L1C,106915274.805000,0,6
1989,564593.000000,G,15,D1C,-561.411000,0,6
1989,564593.000000,G,15,S1C,41.000000,0,6
1989,564593.000000,G,17,C1C,24015256.620000,0,7
1989,564593.000000,G,17,L1C,126201693.286000,0,7
1989,564593.000000,G,17,D1C,-1853.164000,0,7
1989,564593.000000,G,17,S1C,47.000000,0,7
1989,564593.000000,G,19,C1C,24480039.754000,0,7
1989,564593.000000,G,19,L1C,128644117.143000,0,7
1989,564593.000000,G,19,D1C,-2989.864000,0,7
1989,564593.000000,G,19,S1C,45.000000,0,7
1989,564593.000000,G,20,C1C,21531834.986000,0,5
1989,564593.000000,G,20,L1C,113151236.514000,0,5
1989,564593.000000,G,20,D1C,1801.189000,0,5
1989,564593.000000,G,20,S1C,34.000000,0,5
1989,564593.000000,G,24,C1C,21581791.209000,0,4
1989,564593.000000,G,24,L1C,113412878.291000,0,4
1989,564593.000000,G,24,D1C,-1951.830000,0,4
1989,564593.000000,G,24,S1C,28.000000,0,4
1989,564593.000000,G,28,C1C,23418431.428000,0,6
1989,564593.000000,G,28,L1C,123065367.731000,0,6
1989,564593.000000,G,28,D1C,2815.175000,0,6
1989,564593.000000,G,28,S1C,41.000000,0,6
1989,564598.000000,G,5,C1C,24255648.494000,0,7
1989,564598.000000,G,5,L1C,127465025.105000,0,7
1989,564598.000000,G,5,D1C,3674.301000,0,7
1989,564598.000000,G,5,S1C,44.000000,0,7
1989,564598.000000,G,12,C1C,23969854.993000,0,7
1989,564598.000000,G,12,L1C,125963154.125000,0,7
1989,564598.000000,G,12,D1C,-3945.079000,0,7
1989,564598.000000,G,12,S1C,42.000000,0,7
1989,564598.000000,G,13,C1C,20635370.157000,0,7
1989,564598.000000,G,13,L1C,108440293.040000,0,7
1989,564598.000000,G,13,D1C,1176.189000,0,7
1989,564598.000000,G,13,S1C,45.000000,0,7
1989,564598.000000,G,15,C1C,20344618.994000,0,6
1989,564598.000000,G,15,L1C,106912473.363000,0,6
1989,564598.000000,G,15,D1C,-558.568000,0,6
1989,564598.000000,G,15,S1C,41.000000,0,6
1989,564598.000000,G,17,C1C,24013492.174000,0,7
1989,564598.000000,G,17,L1C,126192432.062000,0,7
1989,564598.000000,G,17,D1C,-1850.906000,0,7
1989,564598.000000,G,17,S1C,47.000000,0,7
1989,564598.000000,G,19,C1C,24477191.659000,0,7
1989,564598.000000,G,19,L1C,128629169.300000,0,7
1989,564598.000000,G,19,D1C,-2988.540000,0,7
1989,564598.000000,G,19,S1C,45.000000,0,7
1989,564598.000000,G,20,C1C,21533558.654000,0,5
1989,564598.000000,G,20,L1C,113160251.453000,0,5
1989,564598.000000,G,20,D1C,1804.381000,0,5
1989,564598.000000,G,20,S1C,34.000000,0,5
1989,564598.000000,G,24,C1C,21579954.857000,0,5
1989,564598.000000,G,24,L1C,113403120.202000,0,5
1989,564598.000000,G,24,D1C,-1949.623000,0,5
1989,564598.000000,G,24,S1C,30.000000,0,5
1989,564598.000000,G,28,C1C,23421109.048000,0,6
1989,564598.000000,G,28,L1C,123079446.719000,0,6
1989,564598.000000,G,28,D1C,2816.612000,0,6
1989,564598.000000,G,28,S1C,41.000000,0,6
1989,564603.000000,G,5,C1C,24259143.316000,0,7
1989,564603.000000,G,5,L1C,127483394.516000,0,7
1989,564603.000000,G,5,D1C,3674.583000,0,7
1989,564603.000000,G,5,S1C,44.000000,0,7
1989,564603.000000,G,12,C1C,23966101.023000,0,7
1989,564603.000000,G,12,L1C,125943426.878000,0,7
1989,564603.000000,G,12,D1C,-3944.254000,0,7
1989,564603.000000,G,12,S1C,42.000000,0,7
1989,564603.000000,G,13,C1C,20636490.802000,0,7
1989,564603.000000,G,13,L1C,108446177.072000,0,7
1989,564603.000000,G,13,D1C,1178.308000,0,7
1989,564603.000000,G,13,S1C,45.000000,0,7
1989,564603.000000,G,15,C1C,20344089.930000,0,6
1989,564603.000000,G,15,L1C,106909682.116000,0,6
1989,564603.000000,G,15,D1C,-556.059000,0,6
1989,564603.000000,G,15,S1C,41.000000,0,6
1989,564603.000000,G,17,C1C,24011733.105000,0,7
1989,564603.000000,G,17,L1C,126183178.091000,0,7
1989,564603.000000,G,17,D1C,-1848.685000,0,7
1989,564603.000000,G,17,S1C,47.000000,0,7
1989,564603.000000,G,19,C1C,24474347.326000,0,7
1989,564603.000000,G,19,L1C,128614223.229000,0,7
1989,564603.000000,G,19,D1C,-2988.135000,0,7
1989,564603.000000,G,19,S1C,44.000000,0,7
1989,564603.000000,G,20,C1C,21535280.370000,0,5
1989,564603.000000,G,20,L1C,113169278.132000,0,5
1989,564603.000000,G,20,D1C,1807.301000,0,5
1989,564603.000000,G,20,S1C,35.000000,0,5
1989,564603.000000,G,24,C1C,21578078.391000,0,5
1989,564603.000000,G,24,L1C,113393367.299000,0,5
1989,564603.000000,G,24,D1C,-1949.372000,0,5
1989,564603.000000,G,24,S1C,30.000000,0,5
1989,564603.000000,G,28,C1C,23423789.929000,0,6
1989,564603.000000,G,28,L1C,123093530.846000,0,6
1989,564603.000000,G,28,D1C,2818.608000,0,6
1989,564603.000000,G,28,S1C,41.000000,0,6
1989,564608.000000,G,5,C1C,24262640.525000,0,7
1989,564608.000000,G,5,L1C,127501759.478000,0,7
1989,564608.000000,G,5,D1C,3675.384000,0,7
1989,564608.000000,G,5,S1C,44.000000,0,7
1989,564608.000000,G,12,C1C,23962348.382000,0,7
1989,564608.000000,G,12,L1C,125923697.617000,0,7
1989,564608.000000,G,12,D1C,-3943.227000,0,7
1989,564608.000000,G,12,S1C,42.000000,0,7
1989,564608.000000,G,13,C1C,20637612.309000,0,7
1989,564608.000000,G,13,L1C,108452066.630000,0,7
1989,564608.000000,G,13,D1C,1181.038000,0,7
1989,564608.000000,G,13,S1C,45.000000,0,7
1989,564608.000000,G,15,C1C,20343559.891000,0,7
1989,564608.000000,G,15,L1C,106906897.740000,0,7
1989,564608.000000,G,15,D1C,-553.575000,0,7
1989,564608.000000,G,15,S1C,42.000000,0,7
1989,564608.000000,G,17,C1C,24009973.270000,0,8
1989,564608.000000,G,17,L1C,126173928.094000,0,8
1989,564608.000000,G,17,D1C,-1846.858000,0,8
1989,564608.000000,G,17,S1C,48.000000,0,8
1989,564608.000000,G,19,C1C,24471504.243000,0,7
1989,564608.000000,G,19,L1C,128599275.731000,0,7
1989,564608.000000,G,19,D1C,-2986.790000,0,7
1989,564608.000000,G,19,S1C,44.000000,0,7
1989,564608.000000,G,20,C1C,21536996.847000,0,6
1989,564608.000000,G,20,L1C,113178313.279000,0,6
1989,564608.000000,G,20,D1C,1811.078000,0,6
1989,564608.000000,G,20,S1C,36.000000,0,6
1989,564608.000000,G,24,C1C,21576210.836000,0,5
1989,564608.000000,G,24,L1C,113383616.228000,0,5
1989,564608.000000,G,24,D1C,-1946.622000,0,5
1989,564608.000000,G,24,S1C,30.000000,0,5
1989,564608.000000,G,28,C1C,23426471.140000,0,6
1989,564608.000000,G,28,L1C,123107616.704000,0,6
1989,564608.000000,G,28,D1C,2819.952000,0,6
1989,564608.000000,G,28,S1C,41.000000,0,6
1989,564613.000000,G,5,C1C,24266137.410000,0,7
1989,564613.000000,G,5,L1C,127520135.733000,0,7
1989,564613.000000,G,5,D1C,3674.758000,0,7
1989,564613.000000,G,5,S1C,45.000000,0,7
1989,564613.000000,G,12,C1C,23958598.552000,0,7
1989,564613.000000,G,12,L1C,125903982.127000,0,7
1989,564613.000000,G,12,D1C,-3943.196000,0,7
1989,564613.000000,G,12,S1C,42.000000,0,7
1989,564613.000000,G,13,C1C,20638735.196000,0,7
1989,564613.000000,G,13,L1C,108457977.441000,0,7
1989,564613.000000,G,13,D1C,1182.916000,0,7
1989,564613.000000,G,13,S1C,45.000000,0,7
1989,564613.000000,G,15,C1C,20343031.686000,0,7
1989,564613.000000,G,15,L1C,106904136.004000,0,7
1989,564613.000000,G,15,D1C,-551.461000,0,7
1989,564613.000000,G,15,S1C,42.000000,0,7
1989,564613.000000,G,17,C1C,24008217.571000,0,8
1989,564613.000000,G,17,L1C,126164697.835000,0,8
1989,564613.000000,G,17,D1C,-1845.319000,0,8
1989,564613.000000,G,17,S1C,48.000000,0,8
1989,564613.000000,G,19,C1C,24468664.065000,0,7
1989,564613.000000,G,19,L1C,128584342.493000,0,7
1989,564613.000000,G,19,D1C,-2986.308000,0,7
1989,564613.000000,G,19,S1C,45.000000,0,7
1989,564613.000000,G,20,C1C,21538715.251000,0,5
1989,564613.000000,G,20,L1C,113187372.550000,0,5
1989,564613.000000,G,20,D1C,1812.279000,0,5
1989,564613.000000,G,20,S1C,35.000000,0,5
1989,564613.000000,G,24,C1C,21574365.865000,0,5
1989,564613.000000,G,24,L1C,113373882.842000,0,5
1989,564613.000000,G,24,D1C,-1947.094000,0,5
1989,564613.000000,G,24,S1C,30.000000,0,5
1989,564613.000000,G,28,C1C,23429155.875000,0,7
1989,564613.000000,G,28,L1C,123121720.083000,0,7
1989,564613.000000,G,28,D1C,2820.558000,0,7
1989,564613.000000,G,28,S1C,42.000000,0,7
1989,564618.000000,G,5,C1C,24269632.513000,0,7
1989,564618.000000,G,5,L1C,127538503.622000,0,7
1989,564618.000000,G,5,D1C,3675.425000,0,7
1989,564618.000000,G,5,S1C,45.000000,0,7
1989,564618.000000,G,12,C1C,23954842.657000,0,7
1989,564618.000000,G,12,L1C,125884260.765000,0,7
1989,564618.000000,G,12,D1C,-3941.811000,0,7
1989,564618.000000,G,12,S1C,43.000000,0,7
1989,564618.000000,G,13,C1C,20639862.754000,0,7
1989,564618.000000,G,13,L1C,108463889.796000,0,7
1989,564618.000000,G,13,D1C,1185.246000,0,7
1989,564618.000000,G,13,S1C,46.000000,0,7
1989,564618.000000,G,15,C1C,20342512.038000,0,7
1989,564618.000000,G,15,L1C,106901377.234000,0,7
1989,564618.000000,G,15,D1C,-548.618000,0,7
1989,564618.000000,G,15,S1C,42.000000,0,7
1989,564618.000000,G,17,C1C,24006458.839000,0,8
1989,564618.000000,G,17,L1C,126155467.636000,0,8
1989,564618.000000,G,17,D1C,-1843.256000,0,8
1989,564618.000000,G,17,S1C,48.000000,0,8
1989,564618.000000,G,19,C1C,24465822.102000,0,7
1989,564618.000000,G,19,L1C,128569403.878000,0,7
1989,564618.000000,G,19,D1C,-2984.779000,0,7
1989,564618.000000,G,19,S1C,45.000000,0,7
1989,564618.000000,G,20,C1C,21540435.280000,0,5
1989,564618.000000,G,20,L1C,113196436.365000,0,5
1989,564618.000000,G,20,D1C,1816.045000,0,5
1989,564618.000000,G,20,S1C,35.000000,0,5
1989,564618.000000,G,24,C1C,21572537.417000,0,5
1989,564618.000000,G,24,L1C,113364147.293000,0,5
1989,564618.000000,G,24,D1C,-1944.364000,0,5
1989,564618.000000,G,24,S1C,30.000000,0,5
1989,564618.000000,G,28,C1C,23431844.770000,0,7
1989,564618.000000,G,28,L1C,123135821.322000,0,7
1989,564618.000000,G,28,D1C,2822.754000,0,7
1989,564618.000000,G,28,S1C,42.000000,0,7
